2026-02-19 22:36:44,667 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-19 22:36:44,667 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 10:15:47,458 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 10:15:47,458 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 13:05:35,669 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 13:05:35,669 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 16:01:10,841 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 16:01:10,841 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 20:26:21,764 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 20:26:21,764 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 20:55:23,252 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 20:55:23,252 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 22:34:16,658 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 22:34:16,658 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 23:40:15,946 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-20 23:40:15,946 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 00:43:03,343 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 00:43:03,343 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 11:39:24,545 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 11:39:24,545 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 13:47:41,752 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 13:47:41,752 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 16:47:22,342 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 16:47:22,342 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 23:36:33,270 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 23:36:33,270 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 23:50:25,079 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 23:50:25,079 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 23:57:10,013 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-21 23:57:10,013 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 09:30:08,833 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 09:30:08,833 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 10:24:18,741 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 10:34:27,830 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 10:37:54,964 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 11:14:19,050 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
2026-02-22 11:39:28,973 | INFO     | mlx_whisper | Starting MLX-Whisper REST API on http://0.0.0.0:8801
